"id","vcid","drawing.zoom","draw.community.lat","draw.community.lon"
295004,38423,14,44.6843,-63.560654
289016,38672,10,53.96523,-122.784642
291064,38840,10,44.300963,-78.5320107
290007,38841,17,44.256033,-76.582744
296053,38847,12,51.0919809,-113.950608
295006,39007,16,44.7313185,-79.9664066
295025,39094,10,45.405178,-75.6874799
290021,39265,12,42.1824301,-82.7940297
289005,39327,17,49.878049,-97.150058
304032,39380,17,49.213032,-123.997407
290019,39384,16,48.455855,-123.355429
290008,39411,17,50.9136049,-113.973541
294045,39456,14,44.2382177,-76.5303669
295021,39462,10,45.735193,-63.5583271
294064,39485,12,43.679785,-79.346637
298018,39488,17,43.665138,-79.38312
304009,39558,14,44.573561,-80.938659
291036,39675,17,45.068678,-78.541577
295031,39690,14,43.556525,-80.233552
289010,39797,16,45.482264,-73.593197
295011,39939,17,43.692096,-79.315409
289026,40116,12,44.0645259,-79.1491047
296025,40335,12,43.647871,-79.372217
289003,40408,17,48.4266573,-123.3376239
317001,40533,14,47.53573,-52.851907
290038,40714,14,47.552401,-52.8576229
296026,41469,12,44.379546,-79.6918929
291021,41597,10,42.4021992,-82.1966829
296027,41607,17,45.378164,-75.7633321
298009,41729,10,49.614492,-119.666932
304029,41770,16,43.5443471,-80.2553932
296042,42061,16,44.571728,-80.942435
296044,42123,10,45.458454,-75.886615
295005,42164,16,43.754631,-79.1846149
295048,42217,17,45.450405,-73.8021289
295023,42420,10,42.877865,-80.725258
304012,42811,17,48.421452,-123.363802
292045,42921,17,43.040177,-81.228574
294035,42933,16,45.36169,-74.497269
605009,43076,17,45.9538785,-66.6442216
290011,43102,14,49.927279,-97.130021
298015,43120,12,43.581409,-79.75116
292004,43182,12,43.470404,-80.538415
291007,43683,16,44.395545,-79.716599
296003,43806,16,53.5241619,-113.561828
290004,43811,17,52.254078,-113.834719
297001,43896,16,45.504984,-73.5629359
289046,43933,17,48.477883,-123.389812
295041,43962,17,51.503704,-114.610695
296031,43973,10,45.479567,-73.55888
291037,44035,14,44.636122,-75.614784
291015,44054,14,45.182046,-75.6307
291053,44100,17,42.944089,-81.615129
292003,44175,10,43.7489769,-79.399822
289042,44302,10,43.0191779,-81.238184
296038,44476,12,53.538101,-113.285714
291048,44477,12,52.9508073,-122.3984571
291016,44542,10,49.672492,-96.586403
290022,44577,12,48.2972452,-89.3462026
296004,44684,10,44.354793,-79.551604
295026,44879,14,45.347124,-75.659331
290034,45185,12,43.570489,-80.243611
290018,45197,16,49.218661,-123.181445
294032,45369,14,53.539799,-113.441628
294013,45591,14,49.263208,-124.79819
294047,45890,17,43.864165,-79.2359029
292033,45973,14,45.3513218,-75.6443524
297003,46257,10,43.66675,-79.365048
294001,46274,10,45.411478,-75.69748
295043,46384,16,49.694424,-124.889029
294003,46760,17,51.2147385,-114.4676342
291054,46894,10,45.40069,-75.70541
295067,46959,16,51.034146,-114.09658
292002,46979,10,42.900294,-81.284162
291003,47036,14,43.724246,-79.414878
296021,47057,10,55.196123,-118.758779
291004,47097,14,43.443504,-80.426278
294002,47345,10,43.742692,-79.329903
291001,47488,10,44.7694,-63.76562
290032,47698,10,52.187548,-106.575314
